surface,winner_rank,loser_rank
Hard,11,69
Hard,12,321
Hard,12,38
Hard,12,93
Hard,13,79
Hard,13,53
Hard,15,54
Hard,19,83
Hard,17,52
Hard,17,59
Hard,17,55
Hard,16,62
Hard,21,
Hard,21,94
Hard,21,102
Hard,22,89
Hard,22,60
Hard,24,229
Hard,24,37
Hard,23,84
Hard,25,78
Hard,27,85
Hard,27,82
Hard,28,98
Hard,29,103
Hard,31,56
Hard,31,71
Hard,33,47
Hard,200,75
Hard,137,77
Hard,166,99
Hard,177,40
Hard,149,70
Hard,60,108
Hard,83,90
Hard,53,45
Hard,84,43
Hard,44,65
Hard,73,76
Hard,36,95
Hard,55,49
Hard,59,86
Hard,38,64
Hard,96,92
Hard,81,87
Hard,98,107
Hard,37,80
Hard,69,41
Hard,50,68
Hard,72,66
Hard,94,46
Hard,58,100
Hard,48,51
Hard,93,96
Hard,35,72
Hard,102,97
Hard,57,58
Hard,39,35
Hard,1,76
Hard,56,46
Hard,111,260
Hard,29,186
Hard,24,137
Hard,74,35
Hard,50,39
Hard,135,1415
Hard,42,11
Hard,118,97
Hard,394,98
Hard,18,64
Hard,61,28
Hard,59,151
Hard,84,90
Hard,5,88
Hard,3,190
Hard,99,227
Hard,58,57
Hard,27,71
Hard,69,20
Hard,68,140
Hard,109,62
Hard,15,82
Hard,12,122
Hard,78,77
Hard,53,178
Hard,94,73
Hard,32,188
Hard,38,48
Hard,108,101
Hard,7,205
Hard,43,8
Hard,40,117
Hard,104,95
Hard,30,86
Hard,25,36
Hard,55,44
Hard,105,67
Hard,47,10
Hard,13,51
Hard,93,63
Hard,119,66
Hard,33,19
Hard,70,31
Hard,49,91
Hard,75,232
Hard,87,4
Hard,6,41
Hard,45,79
Hard,80,362
Hard,26,92
Hard,21,143
Hard,129,100
Hard,72,65
Hard,216,9
Hard,14,165
Hard,37,54
Hard,256,52
Hard,23,83
Hard,34,231
Hard,170,206
Hard,203,144
Hard,2,60
Hard,1,56
Hard,111,29
Hard,24,74
Hard,135,50
Hard,118,42
Hard,18,394
Hard,61,59
Hard,5,84
Hard,3,99
Hard,58,27
Hard,69,68
Hard,15,109
Hard,78,12
Hard,94,53
Hard,38,32
Hard,7,108
Hard,43,40
Hard,30,104
Hard,25,55
Hard,105,47
Hard,13,93
Hard,33,119
Hard,70,49
Hard,75,87
Hard,6,45
Hard,80,26
Hard,21,129
Hard,72,216
Hard,14,37
Hard,23,256
Hard,170,34
Hard,2,203
Hard,1,111
Hard,24,135
Hard,118,18
Hard,5,61
Hard,3,58
Hard,15,69
Hard,78,94
Hard,38,7
Hard,43,30
Hard,25,105
Hard,13,33
Hard,70,75
Hard,6,80
Hard,21,72
Hard,23,14
Hard,2,170
Hard,24,1
Hard,5,118
Hard,3,15
Hard,78,38
Hard,25,43
Hard,13,70
Hard,21,6
Hard,2,23
Hard,5,24
Hard,78,3
Hard,25,13
Hard,2,21
Hard,5,78
Hard,2,25
Hard,2,5
Grass,1,57
Grass,111,100
Grass,59,92
Grass,48,36
Grass,21,187
Grass,84,49
Grass,105,46
Grass,66,15
Grass,13,106
Grass,101,50
Grass,81,56
Grass,23,87
Grass,30,90
Grass,37,108
Grass,80,219
Grass,89,6
Grass,8,39
Grass,288,68
Grass,73,53
Grass,26,88
Grass,19,171
Grass,63,518
Grass,76,165
Grass,17,93
Grass,9,125
Grass,54,155
Grass,221,213
Grass,22,121
Grass,32,60
Grass,67,74
Grass,45,91
Grass,124,5
Grass,65,4
Grass,79,34
Grass,64,83
Grass,35,114
Grass,25,123
Grass,94,180
Grass,51,104
Grass,10,38
Grass,18,42
Grass,69,431
Grass,61,75
Grass,16,195
Grass,77,27
Grass,72,96
Grass,43,44
Grass,2,274
Grass,7,113
Grass,55,115
Grass,71,99
Grass,29,41
Grass,33,40
Grass,31,110
Grass,58,78
Grass,12,62
Grass,20,85
Grass,135,112
Grass,130,52
Grass,24,95
Grass,28,47
Grass,116,82
Grass,169,182
Grass,3,86
Grass,1,111
Grass,48,59
Grass,21,84
Grass,66,105
Grass,13,101
Grass,23,81
Grass,37,30
Grass,89,80
Grass,8,288
Grass,26,73
Grass,63,19
Grass,17,76
Grass,9,54
Grass,22,221
Grass,32,67
Grass,124,45
Grass,65,79
Grass,64,35
Grass,94,25
Grass,10,51
Grass,69,18
Grass,61,16
Grass,72,77
Grass,2,43
Grass,7,55
Grass,71,29
Grass,33,31
Grass,58,12
Grass,20,135
Grass,24,130
Grass,28,116
Grass,3,169
Grass,1,48
Grass,66,21
Grass,23,13
Grass,37,89
Grass,26,8
Grass,17,63
Grass,22,9
Grass,32,124
Grass,65,64
Grass,94,10
Grass,69,61
Grass,2,72
Grass,7,71
Grass,58,33
Grass,20,24
Grass,3,28
Grass,1,66
Grass,23,37
Grass,26,17
Grass,22,32
Grass,65,94
Grass,2,69
Grass,7,58
Grass,3,20
Grass,1,23
Grass,22,26
Grass,2,65
Grass,3,7
Grass,1,22
Grass,3,2
Grass,1,3
Clay,1,44
Clay,104,134
Clay,147,53
Clay,33,111
Clay,45,24
Clay,40,100
Clay,90,149
Clay,15,95
Clay,12,71
Clay,75,136
Clay,42,84
Clay,21,65
Clay,35,112
Clay,273,49
Clay,148,183
Clay,5,56
Clay,4,131
Clay,91,173
Clay,47,190
Clay,30,41
Clay,27,80
Clay,146,52
Clay,48,119
Clay,17,103
Clay,11,
Clay,127,64
Clay,55,51
Clay,26,187
Clay,69,133
Clay,94,108
Clay,72,66
Clay,9,58
Clay,6,116
Clay,86,88
Clay,76,304
Clay,60,34
Clay,28,132
Clay,37,59
Clay,46,303
Clay,13,96
Clay,252,19
Clay,54,67
Clay,68,105
Clay,20,50
Clay,31,93
Clay,63,79
Clay,144,92
Clay,3,74
Clay,7,151
Clay,82,121
Clay,109,61
Clay,32,87
Clay,25,89
Clay,57,70
Clay,38,83
Clay,43,14
Clay,78,16
Clay,39,102
Clay,110,212
Clay,23,101
Clay,29,73
Clay,85,81
Clay,114,178
Clay,2,180
Clay,1,104
Clay,147,33
Clay,45,40
Clay,15,90
Clay,12,75
Clay,21,42
Clay,35,273
Clay,5,148
Clay,4,91
Clay,47,30
Clay,146,27
Clay,17,48
Clay,11,127
Clay,55,26
Clay,69,94
Clay,9,72
Clay,6,86
Clay,60,76
Clay,28,37
Clay,46,13
Clay,252,54
Clay,68,20
Clay,63,31
Clay,3,144
Clay,7,82
Clay,32,109
Clay,57,25
Clay,38,43
Clay,78,39
Clay,110,23
Clay,29,85
Clay,2,114
Clay,1,147
Clay,45,15
Clay,12,21
Clay,5,35
Clay,4,47
Clay,17,146
Clay,11,55
Clay,9,69
Clay,6,60
Clay,28,46
Clay,68,252
Clay,3,63
Clay,7,32
Clay,38,57
Clay,78,110
Clay,2,29
Clay,1,45
Clay,5,12
Clay,4,17
Clay,11,9
Clay,28,6
Clay,3,68
Clay,7,38
